Kwartal,Bialystok,Bydgoszcz,Gdansk,Gdynia,Katowice,Kielce,Krakow,Lublin,Lodz,Olsztyn,Opole,Poznan,Rzeszow,Szczecin,Warszawa,Wroclaw,Zielona Gora,7 miast,10 miast,6 miast bez Warszawy,9 miast
2006-07-01,3008,2663,3494,4467,3523,2835,6816,3022,2860,2640,3299,3621,2656,3234,5605,3211,2499,3591,2663,4231,2814
2006-10-01,3117,2811,5252,5284,3735,3014,7089,3304,3642,2869,3343,4726,3013,3575,6186,3777,2769,5369,3220,4923,3142
2007-01-01,3500,3017,5490,5797,3806,3241,7192,3309,4209,2960,3343,6445,3469,3831,7302,7063,2500,6499,3276,6121,3173
2007-04-01,4422,4092,7137,6992,5094,3018,7856,3503,5403,3318,3307,7243,3517,4933,7523,5289,3258,6785,3923,6610,3469
2007-07-01,4651,4466,7440,7238,5698,4766,8060,4125,5212,3588,4253,5426,4124,5121,7879,5836,4015,7065,4647,6605,4225
2007-10-01,5079,4582,6294,7495,5718,4629,7985,4597,5076,3806,4442,6865,4365,4697,8571,5625,3823,8064,4819,6754,4489
2008-01-01,5160,4540,6473,7301,5791,4408,8000,4861,5103,4389,4253,7598,4163,5362,8535,5268,4108,7539,4783,6937,4641
2008-04-01,4973,4982,7740,7209,5113,4880,8027,4531,5041,4324,3917,7070,4177,5448,8611,5349,3842,6725,4832,6666,4326
2008-07-01,5141,4670,7042,6694,5154,4918,7814,5073,5214,4524,3916,6854,3947,5455,8325,5891,3892,7383,4903,6879,4815
2008-10-01,5177,4749,6193,6384,5772,4609,7518,5217,5542,4353,3765,6768,4401,5663,8149,5513,3771,7023,5007,6396,4888
2009-01-01,5005,5023,5309,6241,4995,4822,7373,4746,4746,4419,3776,6365,3965,5174,7543,5218,3646,6626,4812,6114,4641
2009-04-01,4976,4835,5907,5891,5411,4716,7169,4693,5101,4485,3471,6284,3849,4958,7461,5095,3366,6522,4705,6002,4626
2009-07-01,4787,4757,5804,5504,4524,4678,6866,4437,4755,4297,3669,6146,3969,5406,7585,5105,3500,6502,4579,5901,4442
2009-10-01,4838,4694,5476,5774,4866,4778,6981,4830,5275,4494,3492,6130,3843,5057,7680,5472,3459,6629,4586,6048,4534
2010-01-01,4790,4524,5839,5495,5303,4798,6985,4495,5020,4877,3627,6436,3837,4916,8173,5628,3511,6842,4635,6103,4545
2010-04-01,4802,4856,5678,5278,4511,4829,6920,4535,4846,4602,4125,6632,4039,4751,7974,5938,3538,6785,4609,6123,4551
