Kwartal,Bialystok,Bydgoszcz,Gdansk,Gdynia,Katowice,Kielce,Krakow,Lublin,Lodz,Olsztyn,Opole,Poznan,Rzeszow,Szczecin,Warszawa,Wroclaw,Zielona Gora,7 miast,10 miast,6 miast bez Warszawy,9 miast
2006-07-01,3070,2530,4541,5756,2508,2425,7114,3160,2740,3414,3164,3752,2851,3190,7179,5261,2137,5707,2860,4890,2813
2006-10-01,3408,2784,5406,6496,2649,3127,7383,3562,3316,3925,3585,4462,3734,3857,8751,5857,2384,6611,3356,5425,3245
2007-01-01,3986,3607,6115,7211,3704,3904,8369,3986,4130,5049,3349,6104,4187,4735,9316,6747,2993,7463,4000,6428,3889
2007-04-01,4418,3932,6602,6747,4152,4121,8272,4699,4609,5352,4150,6698,4647,4959,9740,7038,3199,7763,4418,6657,4322
2007-07-01,4580,4150,6740,7188,4151,4231,8255,4815,4721,5394,4136,6387,4814,5094,10078,7194,3565,7878,4532,6666,4442
2007-10-01,4637,3956,6824,6917,4473,4300,8140,4962,4686,5170,4363,6472,4849,5297,9952,7266,3441,7853,4632,6705,4523
2008-01-01,4738,3685,6795,6984,4739,4528,7979,5141,4737,5200,4235,6235,4901,5124,9850,7138,3417,7868,4641,6763,4569
2008-04-01,4853,4202,6704,6854,4638,4478,7934,5071,4668,5014,4068,6097,4824,5180,9783,7159,3490,7755,4692,6625,4607
2008-07-01,4777,4151,6608,6960,4555,4574,7180,5111,4544,4964,4187,5980,4790,5174,9679,6922,3506,7538,4678,6344,4597
2008-10-01,4744,4240,6793,7059,4360,4356,7251,5091,4873,4947,4143,5954,4640,5079,10196,6859,3488,7755,4618,6400,4542
2009-01-01,4613,4095,6648,7104,4340,4467,6864,5062,4730,4730,4235,5979,4683,4965,9626,6785,3430,7443,4540,6226,4482
2009-04-01,4614,4017,6644,6949,4288,4287,6678,5017,4431,4710,4283,6216,4684,4860,10133,6749,3365,7563,4504,6132,4446
2009-07-01,4641,4244,6449,6901,4370,4499,6564,5010,4643,4733,4083,5970,4641,4964,9705,6842,3347,7390,4564,6099,4506
2009-10-01,4620,4203,6350,6991,4181,4434,6734,4977,4400,4720,4154,5924,4681,4834,9671,6758,3331,7361,4507,6072,4474
2010-01-01,4729,4202,6465,7032,4136,4605,6916,5028,4558,4763,4166,6074,4611,4868,9901,6725,3402,7516,4560,6197,4494
2010-04-01,4709,4270,6491,6901,4256,4506,6937,5037,4407,4709,4194,6122,4654,4844,9982,6678,3332,7538,4565,6176,4513
2010-07-01,4752,4233,6286,6700,4323,4626,6909,5063,4406,4759,4295,6012,4615,4864,9788,6562,3388,7341,4546,6016,4555
2010-10-01,4809,4005,6494,6510,4108,4707,6964,5139,4457,4726,4137,6047,4696,4760,9767,6602,3507,7351,4478,6040,4500
2011-01-01,4862,4055,6536,6522,4234,4678,7206,5161,4469,4719,4222,5940,4726,4759,9706,6576,3579,7336,4556,6107,4551
2011-04-01,4810,4153,6573,6493,3974,4622,7246,5199,4363,4698,4246,5911,4777,4733,9472,6582,3522,7239,4513,6078,4534
2011-07-01,4778,4058,6472,6430,3965,4436,6949,5149,4238,4679,4456,5804,4729,4707,9397,6541,3511,7105,4458,5941,4473
2011-10-01,4754,3923,6242,6463,4152,4536,6989,5050,3990,4625,4175,5737,4791,4704,9363,6397,3555,7119,4489,5888,4463
2012-01-01,4724,3885,6384,6370,4053,4510,6776,5057,4006,4628,4171,5604,4801,4586,9111,6367,3570,7024,4438,5866,4438
2012-04-01,4674,3932,6310,6475,4122,4545,6724,5076,4033,4632,3981,5535,4905,4431,9035,6307,3621,6951,4442,5788,4451
2012-07-01,4588,3606,6274,6451,4057,4464,6617,5065,3794,4544,4066,5519,4935,4442,8900,6182,3493,6853,4360,5712,4353
2012-10-01,4583,3882,6240,6475,4138,4469,6648,4995,3854,4465,4013,5446,4912,4336,8768,6100,3504,6792,4379,5692,4391
2013-01-01,4576,3639,6278,6608,3955,4367,6644,4491,3975,4365,4074,5406,4908,4434,8606,5959,3533,6738,4304,5701,4287
2013-04-01,4546,3713,6152,6337,4001,4338,6489,4858,4058,4425,4062,5657,4890,4171,8638,5986,3485,6740,4277,5678,4295
2013-07-01,4520,3607,6007,6618,3973,4330,6585,4935,4018,4390,4246,5628,4910,4152,8544,5984,3516,6746,4279,5730,4306
2013-10-01,4494,3736,6136,6629,3928,4215,6537,4901,3978,4418,4174,5718,4934,4247,8627,6098,3447,6794,4283,5768,4302
2014-01-01,4510,4019,6103,6410,3915,4215,6754,4886,3984,4443,3975,5830,4946,4370,8622,6096,3473,6807,4337,5796,4331
2014-04-01,4450,3536,6073,6492,4046,4186,6682,4884,3915,4420,4231,5742,4908,4294,8691,5899,3459,6775,4269,5707,4269
2014-07-01,4443,3758,5858,6657,4027,4174,6644,4831,3907,4405,4097,5806,4933,4273,8626,5980,3429,6764,4275,5727,4269
2014-10-01,4445,3830,5873,6466,3918,4148,6860,4854,3892,4316,4109,5694,4953,4307,8636,6017,3509,6759,4276,5713,4269
2015-01-01,4423,3685,5982,6324,3928,4053,7030,4844,3923,4348,4141,5848,4959,4305,8608,5901,3480,6771,4251,5747,4269
2015-04-01,4463,3765,5949,6187,3978,4029,6978,4953,3865,4301,4157,5831,5010,4393,8553,5812,3443,6706,4300,5676,4269
2015-07-01,4402,3949,5993,6312,3936,4067,6948,4884,3872,4340,4200,5409,4973,4196,8565,5930,3421,6714,4281,5682,4269
2015-10-01,4456,3774,6133,6402,3909,4035,6795,4893,3850,4310,4232,5730,4954,4218,8655,5914,3439,6767,4254,5715,4269
2016-01-01,4488,3875,6193,6407,3920,4026,6827,4947,3940,4374,4187,5941,4916,4413,8658,5951,3447,6808,4307,5777,4269
2016-04-01,4536,3834,6319,6795,3971,4004,6756,4990,4009,4380,4221,6040,4914,4349,8721,5984,3500,6866,4310,5833,4269
2016-07-01,4578,3909,6226,6730,3988,4058,6837,4992,4036,4353,4366,6093,4954,4381,8778,6062,3526,6912,4351,5873,4269
2016-10-01,4568,4048,6455,6654,3957,4008,6910,4980,4096,4384,4254,6123,4953,4350,8709,6165,3599,6952,4353,5972,4269
2017-01-01,4580,4123,6566,6822,3929,4091,6859,5047,4149,4437,4395,5955,4995,4431,8816,6253,3596,7021,4407,6020,4269
2017-04-01,4597,4195,6970,7186,3945,4065,6992,5073,4203,4471,4522,6080,5023,4453,8885,6267,3599,7116,4432,6131,4269
2017-07-01,4597,4285,7035,7204,3899,4117,7205,5102,4241,4449,4581,6053,5121,4650,9009,6293,3617,7261,4490,6286,4269
2017-10-01,4746,4328,7345,7383,4013,4189,7593,5142,4314,4516,4586,6349,5225,4633,9235,6365,3686,7444,4554,6445,4269
2018-01-01,4921,4460,7727,7301,4315,4309,7767,5139,4432,4654,4787,6525,5394,4752,9346,6423,3757,7594,4696,6618,4269
2018-04-01,5059,4488,8567,8006,4146,4364,8006,5339,4642,4728,4972,6652,5414,4933,9347,6485,3827,7781,4782,6908,4269
2018-07-01,5134,4526,8740,8560,4173,4365,8059,5295,4711,4867,5006,6763,5476,4975,9612,6491,3903,7979,4807,7069,4269
