Kwartal,Bialystok,Bydgoszcz,Gdansk,Gdynia,Katowice,Kielce,Krakow,Lublin,Lodz,Olsztyn,Opole,Poznan,Rzeszow,Szczecin,Warszawa,Wroclaw,Zielona Gora,7 miast,10 miast,6 miast bez Warszawy,9 miast
2006-07-01,2529,2424,3926,2782,2028,2355,5193,2769,1905,3126,2777,3332,2591,2888,6232,4734,1960,4649,2595,3713,2517
2006-10-01,2998,2359,4072,4561,2160,2673,6349,2884,2160,3665,2885,3903,2935,3133,7143,4932,2381,5380,2905,4412,2734
2007-01-01,3590,2836,4787,4966,2542,3022,6267,3373,3360,4082,3295,4523,3916,3755,7730,5732,2264,5937,3283,4938,3198
2007-04-01,4009,3424,5806,5817,3013,3661,7309,3870,3749,4687,3771,5538,3918,4083,8696,6217,3126,6828,3794,5778,3731
2007-07-01,4635,3913,6059,6483,3870,3670,7193,4265,3981,4716,3958,5805,4073,4321,9137,6862,3483,6921,4121,5762,4073
2007-10-01,4637,3758,6267,6069,3612,3876,6715,4713,4039,4938,3967,5948,4424,4647,9034,5965,3270,6965,4247,5878,4150
2008-01-01,4168,3801,6074,6321,3685,4078,6777,4718,4160,4854,3712,6357,4169,4438,8921,5758,3492,6894,4200,5769,4148
2008-04-01,4404,3984,6087,6119,3968,4127,6629,4890,3961,4726,3729,5858,4187,4699,8546,5891,3354,6738,4316,5740,4233
2008-07-01,4604,3957,5952,5816,3622,4122,6294,4885,3780,4560,3797,6143,4366,4794,8528,6105,3180,6649,4300,5593,4210
2008-10-01,4601,3917,6048,6208,3952,3996,6530,4859,4020,4570,3700,5430,4217,4651,9046,5867,3143,6890,4250,5689,4210
2009-01-01,4432,3876,6166,6063,3777,3970,6110,4805,3874,4455,3772,5226,4071,4616,8406,5753,3114,6567,4188,5543,4138
2009-04-01,4301,3541,5651,5554,3563,3982,6065,4650,3870,4424,3814,5613,4058,4426,8406,5615,2972,6448,4060,5346,4001
2009-07-01,4201,3885,5570,5582,3541,3911,5975,4589,3677,4478,3582,5221,3896,4330,7949,5927,2941,6212,4105,5245,3995
2009-10-01,4086,3964,5653,5797,3303,4167,6155,4926,3636,4541,3649,5181,4096,4320,8497,5753,3085,6421,4114,5272,4056
2010-01-01,4243,3850,6052,5981,3722,4049,6182,4720,3933,4475,3617,5397,4134,4175,8620,5871,2963,6625,4089,5513,4095
2010-04-01,4369,3596,5798,5416,3455,4230,6115,4959,3845,4520,3919,5575,4232,4303,8933,6102,3098,6674,4144,5415,4112
2010-07-01,4286,3866,5579,5470,3632,4114,6296,4930,3874,4467,3735,5496,4359,4392,8493,5990,3009,6536,4184,5454,4141
2010-10-01,4169,3814,5433,5317,3528,4223,6284,4774,3924,4404,3742,5246,4224,4346,8024,6050,3150,6274,4110,5370,4078
2011-01-01,4391,3945,5383,5481,3607,4285,6394,5019,3738,4563,4010,5520,4333,4153,7915,5883,3166,6265,4181,5385,4228
2011-04-01,4334,3733,5671,5483,3500,4427,6478,4945,3843,4572,3959,5321,4485,4171,7920,6004,3222,6319,4159,5445,4180
2011-07-01,4044,3583,5548,5288,3418,4201,6369,5206,3798,4577,4002,5380,4472,4161,7920,5918,3070,6260,4114,5365,4123
2011-10-01,4349,3625,5316,5370,3356,4239,6224,4989,3939,4395,3864,5254,4522,3990,7889,5728,3078,6237,4097,5313,4114
2012-01-01,4304,3503,5295,5219,3318,4218,6489,4848,3647,4251,3745,5396,4325,3996,7601,5533,3064,6066,4011,5254,4021
2012-04-01,4018,3429,5113,5131,3399,3941,6011,4805,3587,4268,3829,5159,4422,3944,7522,5357,3186,5873,3963,4972,3967
2012-07-01,4177,3405,5269,4474,3371,3987,6096,4886,3418,4202,3740,5074,4547,3811,7247,5477,3184,5738,3933,4948,3990
2012-10-01,3797,3371,4903,5209,3357,3829,6115,4588,3341,4081,3753,5067,4549,3750,7238,5401,2978,5720,3807,4976,3819
2013-01-01,3899,3434,5020,4613,3116,3691,5931,4917,3422,3968,3689,4807,4422,3808,6687,4999,2867,5445,3766,4760,3765
2013-04-01,3728,3349,4943,4564,3222,3707,5680,4703,3360,4046,3619,4932,4425,3741,6867,4979,3314,5505,3817,4758,3815
2013-07-01,3755,3357,4871,4328,3254,3933,5884,4273,3469,4028,3832,5042,4462,3848,6971,5094,2895,5587,3771,4816,3758
2013-10-01,3670,3403,4798,4624,3301,3909,5827,4392,3400,4022,3714,5062,4491,3825,7189,5037,3141,5664,3797,4815,3790
2014-01-01,3712,3342,4791,4817,3378,3870,5731,4382,3464,4005,3732,5008,4384,3824,7170,5100,2994,5638,3790,4784,3781
2014-04-01,3685,3416,5021,4716,3339,3739,5937,4441,3421,4138,3794,4970,4455,3710,7332,5087,3179,5743,3854,4857,3808
